RELEASE ; FILENAME ; NR ; NAUTH ; ChgSize ; LOCAdded ; Churn ; BUGGYNESS 
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/RangeScanRequest.java;7;1;1197;14;0;null
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ReadAheadCache.java;71;3;2763;2095;791;NO
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanCallback.java;7;1;1197;28;0;null
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanCallbackWithContext.java;5;1;30;85;85;YES
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanRequest.java;7;1;1197;7;0;null
1;hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ChannelTracker.java;12;2;1322;66;40;null
1;hedwig-server/src/main/java/org/apache/hedwig/server/proxy/HedwigProxy.java;45;3;2492;233;114;YES
1;hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyConfiguration.java;13;2;1401;47;0;null
1;hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyConsumeHandler.java;7;1;651;21;7;null
1;hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyPublishHander.java;0;0;0;0;0;null
1;hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyStartDeliveryHandler.java;27;2;2098;115;19;YES
1;hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyStopDeliveryHandler.java;13;2;705;27;7;YES
1;hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxySubscribeHandler.java;17;2;1965;43;16;YES
1;hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyUnsubscribeHandler.java;0;0;0;0;0;null
1;hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubClient.java;7;1;196;14;0;null
1;hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubClientFactory.java;12;2;1212;107;70;NO
1;hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubSubscriber.java;20;2;1471;150;96;null
1;hedwig-server/src/main/java/org/apache/hedwig/server/regions/RegionManager.java;49;3;2667;1782;1053;YES
1;hedwig-server/src/main/java/org/apache/hedwig/server/ssl/SslServerContextFactory.java;0;0;0;0;0;null
1;hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AbstractSubscriptionManager.java;98;4;2842;2853;1922;NO
1;hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AllToAllTopologyFilter.java;10;1;195;220;180;null
1;hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/InMemorySubscriptionManager.java;32;3;1417;348;235;NO
1;hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/InMemorySubscriptionState.java;43;3;1604;796;701;NO
1;hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/MessageFilter.java;12;2;1307;7;-155;null
1;hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/SubscriptionEventListener.java;7;1;1197;28;0;null
1;hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/SubscriptionManager.java;23;2;1449;163;99;YES
1;hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/TrueFilter.java;11;1;314;6;-160;null
1;hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/ZkSubscriptionManager.java;19;2;1973;371;-1128;null
1;hedwig-server/src/main/java/org/apache/hedwig/server/topics/AbstractTopicManager.java;35;3;2172;452;295;NO
1;hedwig-server/src/main/java/org/apache/hedwig/server/topics/TopicManager.java;16;2;1305;96;54;NO
1;hedwig-server/src/main/java/org/apache/hedwig/server/topics/TopicOwnershipChangeListener.java;0;0;0;0;0;null
1;hedwig-server/src/main/java/org/apache/hedwig/server/topics/TrivialOwnAllTopicManager.java;16;2;1305;50;33;YES
1;hedwig-server/src/main/java/org/apache/hedwig/server/topics/ZkTopicManager.java;37;3;2378;1063;-412;NO
1;hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsynBKCallback.java;7;1;1197;210;0;null
1;hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsyncCallback.java;6;1;204;6;0;null
1;hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsyncZKCallback.java;7;1;1197;7;0;null
1;hedwig-server/src/main/java/org/apache/hedwig/zookeeper/ZkUtils.java;22;3;2090;305;197;YES
1;hedwig-server/src/test/java/org/apache/hedwig/HelperMethods.java;7;1;1197;21;7;null
